

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.009  000.009: --- NVIM STARTING ---
000.130  000.122: event init
000.283  000.152: early init
000.764  000.482: locale set
000.859  000.095: init first window
001.368  000.508: inits 1
001.382  000.015: window checked
001.391  000.009: parsing arguments
001.906  000.078  000.078: require('vim.shared')
002.042  000.060  000.060: require('vim._meta')
002.045  000.135  000.075: require('vim._editor')
002.046  000.261  000.048: require('vim._init_packages')
002.048  000.396: init lua interpreter
003.716  001.669: expanding arguments
003.769  000.053: inits 2
004.049  000.280: init highlight
004.050  000.002: waiting for UI
007.338  003.288: done waiting for UI
007.386  000.047: clear screen
007.603  000.218: init default mappings
007.623  000.020: init default autocommands
010.774  000.098  000.098: sourcing /usr/local/Cellar/neovim/HEAD-a069e88/share/nvim/runtime/ftplugin.vim
011.237  000.036  000.036: sourcing /usr/local/Cellar/neovim/HEAD-a069e88/share/nvim/runtime/indent.vim
045.950  034.433  034.433: require('impatient')
046.127  000.171  000.171: require('impatient.profile')
046.479  000.225  000.225: require('config.core.global')
046.596  000.112  000.112: require('config.core.options')
048.043  000.005  000.005: require('vim.F')
048.115  000.318  000.313: require('vim.diagnostic')
048.128  000.572  000.254: require('config.core.mappings')
048.136  000.005  000.005: require('vim.keymap')
050.300  000.098  000.098: require('config.core.config')
050.729  000.131  000.131: require('config.plugins.configs.indent-blankline')
050.845  000.111  000.111: require('config.plugins.configs.dashboard')
050.850  000.546  000.304: require('config.plugins.modules.themes')
050.852  000.763  000.119: require('config.utils')
050.854  000.904  000.141: require('config.core.autocmd')
051.074  000.107  000.107: require('config.core.commands')
051.281  000.195  000.195: require('config.plugins')
052.649  000.147  000.147: require('packer.util')
052.771  000.483  000.337: require('packer')
053.305  000.172  000.172: require('packer.log')
053.310  000.316  000.144: require('packer.async')
053.590  000.097  000.097: require('packer.result')
053.596  000.283  000.186: require('packer.jobs')
053.602  000.783  000.184: require('packer.plugin_utils')
053.753  000.128  000.128: require('packer.snapshot')
054.335  000.116  000.116: require('config.plugins.configs.gitsigns')
054.340  000.400  000.283: require('config.plugins.modules.git')
054.600  000.108  000.108: require('config.plugins.configs.todo')
054.603  000.259  000.152: require('config.plugins.modules.utility')
054.803  000.092  000.092: require('config.plugins.configs.refactoring')
054.916  000.106  000.106: require('config.plugins.configs.neogen')
054.920  000.313  000.115: require('config.plugins.modules.treesitter')
055.216  000.097  000.097: require('lspconfig.ui.windows')
055.777  000.189  000.189: require('vim.lsp.log')
056.273  000.491  000.491: require('vim.lsp.protocol')
056.637  000.160  000.160: require('vim.lsp._snippet')
056.752  000.111  000.111: require('vim.highlight')
056.769  000.491  000.220: require('vim.lsp.util')
056.797  001.381  000.210: require('vim.lsp.handlers')
057.049  000.249  000.249: require('vim.lsp.rpc')
057.238  000.183  000.183: require('vim.lsp.sync')
057.447  000.205  000.205: require('vim.lsp.buf')
057.562  000.111  000.111: require('vim.lsp.diagnostic')
057.673  000.108  000.108: require('vim.lsp.codelens')
057.774  002.549  000.312: require('vim.lsp')
057.778  002.760  000.114: require('config.plugins.configs.lspconfig')
057.781  002.858  000.099: require('config.plugins.modules.lsp')
058.027  000.115  000.115: require('config.plugins.configs.cmp')
058.032  000.248  000.132: require('config.plugins.modules.completion')
058.245  000.102  000.102: require('config.plugins.configs.crates')
058.249  000.214  000.113: require('config.plugins.modules.language')
058.351  000.099  000.099: require('config.plugins.modules.debug')
058.656  000.148  000.148: require('config.plugins.configs.nvimux')
058.824  000.114  000.114: require('config.plugins.configs.telescope')
058.984  000.155  000.155: require('config.plugins.configs.nvimTree')
058.988  000.633  000.215: require('config.plugins.modules.navigation')
059.429  000.120  000.120: require('config.core.default_config')
059.576  000.095  000.095: require('config.custom')
059.862  006.025  000.785: require('config.plugins.modules')
060.034  000.115  000.115: require('config.load_config')
060.170  000.133  000.133: require('config.themes')
060.336  000.121  000.121: require('plenary.reload')
060.977  000.100  000.100: require('plenary.bit')
061.079  000.094  000.094: require('plenary.functional')
061.111  000.021  000.021: require('ffi')
061.131  000.388  000.174: require('plenary.path')
061.433  000.849  000.461: require('plenary.scandir')
061.919  000.231  000.231: require('config.themes.hl.radium')
061.923  000.353  000.122: require('config.themes.integrations.barbar')
062.051  000.114  000.114: require('config.themes.integrations.bufferline')
062.181  000.111  000.111: require('config.themes.integrations.cmp')
062.303  000.107  000.107: require('config.themes.integrations.devicons')
062.427  000.104  000.104: require('config.themes.integrations.dn')
062.591  000.103  000.103: require('config.themes.integrations.git')
062.739  000.113  000.113: require('config.themes.integrations.gps')
062.865  000.095  000.095: require('config.themes.integrations.lsp')
